NUM,NAME,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA,year,team
1,?¤ý¬f¿Ä,118,534,453,84,99,159,107,32,3,17,248,63,9,0.446,0.547,0.351,7,0,2,51,12,16,7,100,127,0.787,0.563,1.091,1358.99,2018,Lmg
2,?¤ý«Â±á,118,537,489,42,74,164,143,17,4,0,189,64,44,0.393,0.387,0.335,8,0,1,42,2,3,19,154,106,1.453,0.698,0.795,734.38,2018,Bro
3,?³¢ªúªL,115,471,419,76,84,119,70,28,2,19,208,101,11,0.349,0.496,0.284,15,1,6,33,0,12,1,102,95,1.074,0.917,0.835,1252.01,2018,Uni
3,?³¯¤l»¨,115,473,414,80,62,120,81,25,1,13,186,95,3,0.364,0.449,0.29,12,1,6,48,1,3,0,95,108,0.88,1,0.788,1135.86,2018,Bro
5,?³¯³Ç¾Ë,112,527,463,60,102,165,124,26,7,8,229,43,16,0.428,0.495,0.356,8,4,1,46,10,3,11,150,102,1.471,0.593,0.959,1045.37,2018,Uni
5,?³¯«~±¶,112,485,415,46,75,122,91,19,6,6,171,77,10,0.368,0.412,0.294,6,12,6,48,3,1,5,103,115,0.896,0.667,0.766,814.98,2018,Fb
7,?½±´¼½å,110,467,429,89,63,142,88,34,2,18,234,73,2,0.373,0.545,0.331,11,0,6,27,3,2,1,116,102,1.137,0.667,0.896,1370,2018,Fb
7,?±i§Ó»¨,110,416,384,61,65,103,57,21,3,22,196,110,4,0.322,0.51,0.268,2,0,1,25,0,6,4,59,113,0.522,0.5,0.805,1209.23,2018,Bro
7,?©P«ä»ô,110,435,394,64,36,120,86,21,2,11,178,60,2,0.359,0.452,0.305,6,3,3,30,4,1,3,104,109,0.954,0.4,0.76,1022.57,2018,Bro
10,?´^¬F¶{,108,408,358,59,51,104,82,14,2,6,140,52,5,0.357,0.391,0.29,19,2,7,34,2,5,2,122,87,1.402,0.714,0.676,845.5,2018,Bro
