NUM,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F,year,team
1,?§d¥à­õ,66,0,66,0,0,0,5,4,3,7,18,60,1.5,4.35,274,1022,70,4,20,3,1,44,2,1,36,29,83,51,1.627,2018,Lmg
2,?¿àÂE¸Û,63,0,63,0,0,0,2,4,0,1,19,56,1.34,3.54,248,938,58,5,17,2,1,40,5,0,28,22,78,50,1.56,2018,Fb
3,?¤ýÃè»Ê,62,0,62,0,0,0,3,7,4,6,21,59.2,1.73,5.28,273,1074,82,5,21,2,2,47,4,0,37,35,68,50,1.36,2018,Uni
4,?¾G³Í¤å,56,0,56,0,0,0,4,5,1,6,16,64.2,1.28,4.18,284,1014,71,5,12,2,3,55,3,0,38,30,71,68,1.044,2018,Bro
5,?ªô¯E¶v,55,0,55,0,0,0,4,3,2,2,23,51,1.55,3.35,233,903,59,3,20,1,4,39,5,0,22,19,62,43,1.442,2018,Uni
6,?¶À¤lÄP,52,1,51,0,0,0,5,3,0,2,15,54.1,0.94,2.48,207,785,39,3,12,2,2,45,1,0,16,15,54,51,1.059,2018,Lmg
7,?¾GÀBÂE,51,1,50,0,0,0,0,3,0,3,13,38.2,1.81,4.66,190,708,51,1,19,3,2,23,4,0,28,20,55,36,1.528,2018,Bro
7,?³¯¬ê¾±,51,0,51,0,0,0,3,6,30,5,3,51.1,1.52,3.16,231,861,59,2,19,3,2,56,4,0,21,18,40,50,0.8,2018,Lmg
9,?³¯Ãý¤å,49,0,49,0,0,0,3,1,19,3,4,46,1.22,3.72,200,800,35,3,21,2,3,61,10,0,22,19,37,34,1.088,2018,Uni
10,?­ÙºÖ¼w,44,0,44,0,0,0,1,1,13,0,9,42,1.1,3,168,667,39,3,7,1,0,47,0,0,14,14,28,44,0.636,2018,Fb
11,?ªL°ê¸Î,43,0,43,0,0,0,2,0,0,1,12,38,1.16,3.32,157,559,33,5,11,1,0,32,1,0,18,14,28,52,0.538,2018,Lmg
12,?¶Àµ¤«Û,42,0,42,0,0,0,1,2,2,2,8,46.2,1.52,2.89,214,814,55,3,16,3,2,39,4,0,25,15,47,49,0.959,2018,Uni
12,?ªL¬f¦ö,42,0,42,0,0,0,5,2,0,6,15,36.1,1.4,4.21,162,587,47,4,4,0,1,39,0,0,22,17,36,35,1.029,2018,Lmg
12,?±i¯Õ»¨,42,0,42,0,0,0,1,3,1,2,7,36.1,1.65,5.2,175,649,53,7,7,6,4,27,3,0,25,21,33,45,0.733,2018,Fb
15,?ªL±á¾ì,41,0,41,0,0,0,1,3,1,3,5,43,1.26,5.86,183,666,45,6,9,0,4,22,2,0,32,28,45,58,0.776,2018,Fb
16,?³¢ªl§Ó,37,0,37,0,0,0,4,2,0,5,11,34,1.32,3.71,146,614,25,3,20,0,1,44,3,0,17,14,29,27,1.074,2018,Fb
16,?³Å¤_­è,37,0,37,0,0,0,1,0,0,0,4,34,1.65,5.03,155,617,45,3,11,0,3,35,1,0,20,19,26,35,0.743,2018,Uni
18,?³¯¬f»¨,35,0,35,0,0,0,3,3,3,1,5,41,2.02,7.24,206,749,61,4,22,2,3,23,3,0,38,33,52,42,1.238,2018,Bro
19,?¬x¸t´Ü,31,0,31,0,0,0,4,2,0,0,0,42.2,1.5,4.01,195,732,52,4,12,0,3,27,5,1,29,19,49,46,1.065,2018,Lmg
20,?¤ýÅDÀM,28,0,28,0,0,0,0,0,0,2,4,19,2.16,7.11,100,406,22,4,19,1,1,21,1,0,16,15,15,21,0.714,2018,Lmg
20,?¥îÅM,28,27,1,1,0,1,14,10,0,0,0,169,1.21,3.25,696,2573,180,9,25,1,4,126,6,0,79,61,203,155,1.31,2018,Fb
20,?·ç¦w,28,26,2,1,1,1,8,4,0,0,1,148.1,1.39,4.31,654,2541,172,14,34,2,5,142,4,0,89,71,149,144,1.035,2018,Uni
20,?µÜºÖ¤O,28,20,8,0,0,0,7,8,0,0,0,151,1.44,4.05,650,2609,176,12,41,1,3,119,11,0,83,68,188,121,1.554,2018,Bro
24,?©x¤j¤¸,27,0,27,0,0,0,3,1,1,2,3,31.1,1.47,4.88,144,510,36,6,10,2,1,22,2,0,21,17,35,37,0.946,2018,Bro
24,?ªL¤l´Q,27,0,27,0,0,0,0,2,0,3,6,20,1.75,5.85,90,396,22,2,13,0,0,15,3,0,15,13,20,20,1,2018,Uni
24,?³¯µ[,27,15,12,0,0,0,3,6,0,0,1,94.2,1.5,4.66,441,1653,98,8,44,7,9,85,7,1,61,49,82,116,0.707,2018,Bro
24,?¦ã­}¹y,27,22,5,2,1,0,9,9,0,1,0,160.1,1.33,3.48,688,2690,163,9,51,4,5,140,6,0,72,62,187,132,1.417,2018,Bro
28,?§õ®¶©÷,26,0,26,0,0,0,1,0,13,1,0,25.1,1.11,1.42,101,346,23,1,5,0,0,22,0,0,4,4,25,24,1.042,2018,Bro
28,?¥§§J´µ,26,25,1,0,0,0,8,4,0,0,0,142.2,1.46,3.72,622,2376,161,11,48,0,4,102,7,0,69,59,192,114,1.684,2018,Lmg
28,?Ã¹¤O,26,26,0,0,0,0,10,8,0,0,0,161,1.2,3.47,664,2463,177,15,16,2,3,157,8,0,73,62,173,126,1.373,2018,Fb
28,?Ã¹¨½©_,26,26,0,1,1,1,12,10,0,0,0,156,1.21,3.17,659,2424,162,12,27,2,3,138,1,0,73,55,178,143,1.245,2018,Uni
32,?¤ý¥ÉÃÐ,25,5,20,0,0,0,1,5,0,1,3,37.2,1.88,7.65,188,704,49,1,22,0,5,31,2,1,37,32,37,40,0.925,2018,Uni
